"Dia";"Diesel A";"Gasolina 95"
"2020-12-24 00:00:00";1,1262;1,2509
"2020-12-25 00:00:00";1,1291;1,2536
"2020-12-26 00:00:00";1,1284;1,2532
"2020-12-27 00:00:00";1,1294;1,2537
"2020-12-28 00:00:00";1,1294;1,2537
"2020-12-29 00:00:00";1,1286;1,2525
"2020-12-30 00:00:00";1,1295;1,2529
"2021-01-02 00:00:00";1,1278;1,2503
"2021-01-03 00:00:00";1,1288;1,2511
"2021-01-04 00:00:00";1,1297;1,2513
"2021-01-05 00:00:00";1,1274;1,2507
"2021-01-06 00:00:00";1,1286;1,2532
"2021-01-07 00:00:00";1,1305;1,2547
"2021-01-08 00:00:00";1,134;1,2593
"2021-01-09 00:00:00";1,1364;1,2622
"2021-01-10 00:00:00";1,1364;1,2623
"2021-01-11 00:00:00";1,1364;1,2623
"2021-01-12 00:00:00";1,1385;1,2681
"2021-01-13 00:00:00";1,1407;1,2714
"2021-01-14 00:00:00";1,1451;1,2775
"2021-01-15 00:00:00";1,1478;1,2799
"2021-01-16 00:00:00";1,1478;1,2819
"2021-01-17 00:00:00";1,148;1,2819
"2021-01-18 00:00:00";1,1483;1,2824
"2021-01-19 00:00:00";1,1483;1,2825
"2021-01-20 00:00:00";1,1504;1,285
"2021-01-21 00:00:00";1,1516;1,2869
"2021-01-22 00:00:00";1,1525;1,2879
"2021-01-23 00:00:00";1,1528;1,2876
"2021-01-24 00:00:00";1,1535;1,2881
"2021-01-25 00:00:00";1,1535;1,2881
"2021-01-26 00:00:00";1,1502;1,2859
"2021-01-27 00:00:00";1,1477;1,2845
"2021-01-28 00:00:00";1,1483;1,2864
"2021-01-29 00:00:00";1,1517;1,2854
"2021-01-30 00:00:00";1,153;1,2834
"2021-01-31 00:00:00";1,1537;1,2839
"2021-02-01 00:00:00";1,1536;1,2837
"2021-02-02 00:00:00";1,1546;1,2856
"2021-02-03 00:00:00";1,1587;1,288
"2021-02-04 00:00:00";1,1651;1,2941
"2021-02-05 00:00:00";1,1684;1,2969
"2021-02-06 00:00:00";1,1717;1,3009
"2021-02-07 00:00:00";1,1718;1,3012
"2021-02-08 00:00:00";1,1725;1,3012
"2021-02-09 00:00:00";1,1748;1,3037
"2021-02-10 00:00:00";1,1806;1,3096
"2021-02-11 00:00:00";1,1813;1,3112
"2021-02-12 00:00:00";1,1831;1,3116
"2021-02-13 00:00:00";1,1853;1,3128
"2021-02-14 00:00:00";1,1865;1,3128
"2021-02-15 00:00:00";1,1865;1,3128
"2021-02-16 00:00:00";1,1879;1,315
"2021-02-17 00:00:00";1,1934;1,3205
"2021-02-18 00:00:00";1,1973;1,3236
"2021-02-19 00:00:00";1,2023;1,3272
"2021-02-20 00:00:00";1,2057;1,3294
"2021-02-21 00:00:00";1,2068;1,3297
"2021-02-22 00:00:00";1,2068;1,3297
"2021-02-23 00:00:00";1,2075;1,3309
"2021-02-24 00:00:00";1,2077;1,3326
"2021-02-25 00:00:00";1,2091;1,3355
"2021-02-26 00:00:00";1,2133;1,3407
"2021-02-27 00:00:00";1,215;1,3426
"2021-02-28 00:00:00";1,2156;1,3436
"2021-03-01 00:00:00";1,2156;1,3436
"2021-03-02 00:00:00";1,2139;1,3456
"2021-03-03 00:00:00";1,2133;1,3467
"2021-03-04 00:00:00";1,2117;1,3484
"2021-03-05 00:00:00";1,2103;1,3493
"2021-03-06 00:00:00";1,2163;1,3542
"2021-03-07 00:00:00";1,2171;1,3557
"2021-03-08 00:00:00";1,2175;1,3556
"2021-03-09 00:00:00";1,2219;1,3607
"2021-03-10 00:00:00";1,2271;1,3653
"2021-03-11 00:00:00";1,2286;1,3671
"2021-03-12 00:00:00";1,2295;1,3681
"2021-03-13 00:00:00";1,2328;1,3737
"2021-03-14 00:00:00";1,2336;1,376
"2021-03-15 00:00:00";1,2336;1,376
"2021-03-16 00:00:00";1,2375;1,3775
"2021-03-17 00:00:00";1,2395;1,3801
"2021-03-18 00:00:00";1,2388;1,3788
"2021-03-19 00:00:00";1,2341;1,3771
"2021-03-20 00:00:00";1,2351;1,3758
"2021-03-21 00:00:00";1,2299;1,3751
"2021-03-22 00:00:00";1,2307;1,3784
"2021-03-23 00:00:00";1,2271;1,3746
"2021-03-24 00:00:00";1,2276;1,3738
"2021-03-25 00:00:00";1,2226;1,3746
"2021-03-26 00:00:00";1,2225;1,3776
"2021-03-27 00:00:00";1,2217;1,3784
"2021-03-28 00:00:00";1,2213;1,3777
"2021-03-29 00:00:00";1,2213;1,3777
"2021-03-30 00:00:00";1,221;1,3779
"2021-03-31 00:00:00";1,2213;1,3787
"2021-04-01 00:00:00";1,2206;1,3766
"2021-04-02 00:00:00";1,2216;1,3756
"2021-04-03 00:00:00";1,221;1,3772
"2021-04-04 00:00:00";1,221;1,3762
"2021-04-05 00:00:00";1,221;1,3762
"2021-04-06 00:00:00";1,2212;1,3758
"2021-04-07 00:00:00";1,2225;1,3772
"2021-04-08 00:00:00";1,2211;1,3765
"2021-04-09 00:00:00";1,2173;1,371
"2021-04-10 00:00:00";1,2146;1,3713
"2021-04-11 00:00:00";1,2142;1,3711
"2021-04-12 00:00:00";1,2147;1,3703
"2021-04-13 00:00:00";1,2131;1,369
"2021-04-14 00:00:00";1,216;1,3724
"2021-04-15 00:00:00";1,2168;1,372
"2021-04-16 00:00:00";1,2222;1,3768
"2021-04-17 00:00:00";1,2258;1,3807
"2021-04-18 00:00:00";1,2267;1,3818
"2021-04-19 00:00:00";1,227;1,3821
"2021-04-20 00:00:00";1,2281;1,3825
"2021-04-21 00:00:00";1,2288;1,3831
"2021-04-22 00:00:00";1,2289;1,3877
"2021-04-23 00:00:00";1,2284;1,3816
"2021-04-24 00:00:00";1,2282;1,3806
"2021-04-25 00:00:00";1,2282;1,3801
"2021-04-26 00:00:00";1,228;1,3808
"2021-04-27 00:00:00";1,2249;1,3786
"2021-04-28 00:00:00";1,2242;1,3772
"2021-04-29 00:00:00";1,221;1,3763
"2021-04-30 00:00:00";1,226;1,381
"2021-05-01 00:00:00";1,231;1,3839
"2021-05-02 00:00:00";1,2323;1,383
"2021-05-03 00:00:00";1,2311;1,3839
"2021-05-04 00:00:00";1,2329;1,385
"2021-05-05 00:00:00";1,2331;1,385
"2021-05-06 00:00:00";1,24;1,3921
"2021-05-07 00:00:00";1,2457;1,398
"2021-05-08 00:00:00";1,2474;1,3994
"2021-05-09 00:00:00";1,2466;1,3992
"2021-05-10 00:00:00";1,2477;1,4007
"2021-05-11 00:00:00";1,2449;1,3969
"2021-05-12 00:00:00";1,2442;1,3971
"2021-05-13 00:00:00";1,2441;1,3967
"2021-05-14 00:00:00";1,2494;1,402
"2021-05-15 00:00:00";1,2506;1,4008
"2021-05-16 00:00:00";1,2477;1,3999
"2021-05-17 00:00:00";1,2491;1,4017
"2021-05-18 00:00:00";1,25;1,4014
"2021-05-19 00:00:00";1,2538;1,4019
"2021-05-20 00:00:00";1,2533;1,402
"2021-05-21 00:00:00";1,2499;1,3976
"2021-05-22 00:00:00";1,2493;1,397
"2021-05-23 00:00:00";1,2485;1,3958
"2021-05-24 00:00:00";1,2493;1,3972
"2021-05-25 00:00:00";1,2488;1,3964
"2021-05-26 00:00:00";1,2512;1,3998
"2021-05-27 00:00:00";1,2513;1,4022
"2021-05-28 00:00:00";1,2515;1,4017
"2021-05-29 00:00:00";1,2538;1,4053
"2021-05-30 00:00:00";1,2531;1,4041
"2021-05-31 00:00:00";1,2534;1,4058
"2021-06-01 00:00:00";1,2568;1,4082
"2021-06-02 00:00:00";1,259;1,4086
"2021-06-03 00:00:00";1,2583;1,412
"2021-06-04 00:00:00";1,2573;1,4114
"2021-06-05 00:00:00";1,2603;1,414
"2021-06-06 00:00:00";1,2582;1,4122
"2021-06-07 00:00:00";1,258;1,413
"2021-06-08 00:00:00";1,2612;1,4155
"2021-06-09 00:00:00";1,265;1,4178
"2021-06-10 00:00:00";1,2638;1,4192
"2021-06-11 00:00:00";1,2646;1,4221
"2021-06-12 00:00:00";1,2663;1,4229
"2021-06-13 00:00:00";1,2664;1,4235
"2021-06-14 00:00:00";1,2669;1,4232
"2021-06-15 00:00:00";1,2671;1,4241
"2021-06-16 00:00:00";1,2683;1,426
"2021-06-17 00:00:00";1,2703;1,4273
"2021-06-18 00:00:00";1,2737;1,4309
"2021-06-19 00:00:00";1,2747;1,4309
"2021-06-20 00:00:00";1,2737;1,4304
"2021-06-21 00:00:00";1,275;1,432
"2021-06-22 00:00:00";1,2736;1,4315
"2021-06-23 00:00:00";1,278;1,434
"2021-06-24 00:00:00";1,2801;1,4345
"2021-06-25 00:00:00";1,2858;1,4379
"2021-06-26 00:00:00";1,2854;1,4394
"2021-06-27 00:00:00";1,2853;1,4387
"2021-06-28 00:00:00";1,286;1,4397
"2021-06-29 00:00:00";1,2911;1,441
"2021-06-30 00:00:00";1,2908;1,4429
"2021-07-01 00:00:00";1,2868;1,4434
"2021-07-02 00:00:00";1,2852;1,4442
"2021-07-03 00:00:00";1,2884;1,4471
"2021-07-04 00:00:00";1,2882;1,4459
"2021-07-05 00:00:00";1,2888;1,4461
"2021-07-06 00:00:00";1,2956;1,4524
"2021-07-07 00:00:00";1,2963;1,4567
"2021-07-08 00:00:00";1,296;1,4564
"2021-07-09 00:00:00";1,2916;1,4561
"2021-07-10 00:00:00";1,2921;1,4545
"2021-07-11 00:00:00";1,2928;1,4546
"2021-07-12 00:00:00";1,2929;1,4544
"2021-07-13 00:00:00";1,2983;1,458
"2021-07-14 00:00:00";1,3006;1,4598
"2021-07-15 00:00:00";1,3013;1,4615
"2021-07-16 00:00:00";1,3037;1,4638
"2021-07-17 00:00:00";1,3021;1,4624
"2021-07-18 00:00:00";1,302;1,4634
"2021-07-19 00:00:00";1,3026;1,4637
"2021-07-20 00:00:00";1,3017;1,4647
"2021-07-21 00:00:00";1,2967;1,4615
"2021-07-22 00:00:00";1,2917;1,4583
"2021-07-23 00:00:00";1,2923;1,4593
"2021-07-24 00:00:00";1,2935;1,4591
"2021-07-25 00:00:00";1,2949;1,4597
"2021-07-26 00:00:00";1,2953;1,4611
"2021-07-27 00:00:00";1,2957;1,4623
"2021-07-28 00:00:00";1,2982;1,4642
"2021-07-29 00:00:00";1,3003;1,4671
"2021-07-30 00:00:00";1,3014;1,4674
"2021-07-31 00:00:00";1,3018;1,4692
"2021-08-01 00:00:00";1,3022;1,47
"2021-08-02 00:00:00";1,3028;1,4693
"2021-08-03 00:00:00";1,301;1,4692
"2021-08-04 00:00:00";1,2995;1,4694
"2021-08-05 00:00:00";1,2934;1,4679
"2021-08-06 00:00:00";1,292;1,4659
"2021-08-07 00:00:00";1,2924;1,4668
"2021-08-08 00:00:00";1,2927;1,4658
